nohup: ignoring input
/opt/conda/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/opt/conda/lib/python3.10/site-packages/timm/models/registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
load data...
Start train...
/opt/conda/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:143: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
2024-11-25 22:09:23.966036 Epoch [001/180], Step [0420/0750], Total_loss: 1.9821 Loss1: 0.9774 Loss2: 0.9464
2024-11-25 22:10:02.105107 Epoch [001/180], Step [0440/0750], Total_loss: 1.8584 Loss1: 0.8876 Loss2: 0.9041
2024-11-25 22:10:40.677472 Epoch [001/180], Step [0460/0750], Total_loss: 2.1512 Loss1: 1.0384 Loss2: 1.0486
2024-11-25 22:11:18.793005 Epoch [001/180], Step [0480/0750], Total_loss: 1.9821 Loss1: 0.9619 Loss2: 0.9540
2024-11-25 22:11:57.153542 Epoch [001/180], Step [0500/0750], Total_loss: 1.9889 Loss1: 0.9688 Loss2: 0.9724
2024-11-25 22:12:35.564558 Epoch [001/180], Step [0520/0750], Total_loss: 2.0750 Loss1: 0.9820 Loss2: 1.0198
2024-11-25 22:13:14.135004 Epoch [001/180], Step [0540/0750], Total_loss: 2.1649 Loss1: 1.0118 Loss2: 1.0676
2024-11-25 22:13:52.890045 Epoch [001/180], Step [0560/0750], Total_loss: 1.8684 Loss1: 0.9144 Loss2: 0.9177
2024-11-25 22:14:31.127211 Epoch [001/180], Step [0580/0750], Total_loss: 2.1312 Loss1: 0.9733 Loss2: 1.0432
2024-11-25 22:15:09.280971 Epoch [001/180], Step [0600/0750], Total_loss: 1.8927 Loss1: 0.9314 Loss2: 0.9196
2024-11-25 22:15:47.336878 Epoch [001/180], Step [0620/0750], Total_loss: 1.7767 Loss1: 0.8857 Loss2: 0.8293
2024-11-25 22:16:25.622996 Epoch [001/180], Step [0640/0750], Total_loss: 2.0717 Loss1: 0.9692 Loss2: 1.0516
2024-11-25 22:17:03.679748 Epoch [001/180], Step [0660/0750], Total_loss: 1.9631 Loss1: 0.9616 Loss2: 0.9601
2024-11-25 22:17:41.731203 Epoch [001/180], Step [0680/0750], Total_loss: 1.7110 Loss1: 0.8600 Loss2: 0.8021
2024-11-25 22:18:20.175549 Epoch [001/180], Step [0700/0750], Total_loss: 1.6738 Loss1: 0.8551 Loss2: 0.7592
2024-11-25 22:18:58.118060 Epoch [001/180], Step [0720/0750], Total_loss: 1.8621 Loss1: 0.8876 Loss2: 0.9120
2024-11-25 22:19:36.305714 Epoch [001/180], Step [0740/0750], Total_loss: 2.2157 Loss1: 1.0299 Loss2: 1.0648
2024-11-25 22:19:55.538991 Epoch [001/180], Step [0750/0750], Total_loss: 1.9990 Loss1: 0.9543 Loss2: 0.9981
Epoch: 1, MAE: 0.038455363999140554, bestMAE: 1, bestEpoch: 0.
2024-11-25 22:30:19.766096 Epoch [002/180], Step [0001/0750], Total_loss: 1.6771 Loss1: 0.8692 Loss2: 0.8079
2024-11-25 22:30:56.006793 Epoch [002/180], Step [0020/0750], Total_loss: 1.8376 Loss1: 0.9259 Loss2: 0.9116
2024-11-25 22:31:34.365124 Epoch [002/180], Step [0040/0750], Total_loss: 1.9744 Loss1: 0.9798 Loss2: 0.9942
2024-11-25 22:32:12.733970 Epoch [002/180], Step [0060/0750], Total_loss: 1.7631 Loss1: 0.8969 Loss2: 0.8647
2024-11-25 22:32:50.942011 Epoch [002/180], Step [0080/0750], Total_loss: 2.0024 Loss1: 0.9996 Loss2: 1.0008
2024-11-25 22:33:29.256526 Epoch [002/180], Step [0100/0750], Total_loss: 1.5990 Loss1: 0.8024 Loss2: 0.7897
2024-11-25 22:34:07.780300 Epoch [002/180], Step [0120/0750], Total_loss: 1.7636 Loss1: 0.8714 Loss2: 0.8854
2024-11-25 22:34:46.664486 Epoch [002/180], Step [0140/0750], Total_loss: 1.8301 Loss1: 0.9117 Loss2: 0.9082
2024-11-25 22:35:24.697142 Epoch [002/180], Step [0160/0750], Total_loss: 1.5410 Loss1: 0.8075 Loss2: 0.7217
2024-11-25 22:36:03.032834 Epoch [002/180], Step [0180/0750], Total_loss: 1.8678 Loss1: 0.9131 Loss2: 0.9356
2024-11-25 22:36:41.312050 Epoch [002/180], Step [0200/0750], Total_loss: 1.8025 Loss1: 0.9008 Loss2: 0.8762
2024-11-25 22:37:19.575943 Epoch [002/180], Step [0220/0750], Total_loss: 1.9138 Loss1: 0.9611 Loss2: 0.9328
2024-11-25 22:37:58.065283 Epoch [002/180], Step [0240/0750], Total_loss: 2.3259 Loss1: 1.0741 Loss2: 1.2268
2024-11-25 22:38:36.048088 Epoch [002/180], Step [0260/0750], Total_loss: 1.8829 Loss1: 0.9316 Loss2: 0.9308
2024-11-25 22:39:14.282873 Epoch [002/180], Step [0280/0750], Total_loss: 1.7595 Loss1: 0.8723 Loss2: 0.8697
2024-11-25 22:39:52.567201 Epoch [002/180], Step [0300/0750], Total_loss: 1.6555 Loss1: 0.8390 Loss2: 0.7835
2024-11-25 22:40:30.710099 Epoch [002/180], Step [0320/0750], Total_loss: 2.1674 Loss1: 0.9790 Loss2: 1.1509
2024-11-25 22:41:08.609921 Epoch [002/180], Step [0340/0750], Total_loss: 1.7814 Loss1: 0.8857 Loss2: 0.8791
2024-11-25 22:41:46.589073 Epoch [002/180], Step [0360/0750], Total_loss: 1.7259 Loss1: 0.8574 Loss2: 0.8276
2024-11-25 22:42:24.403103 Epoch [002/180], Step [0380/0750], Total_loss: 1.5219 Loss1: 0.7657 Loss2: 0.7230
2024-11-25 22:43:02.435701 Epoch [002/180], Step [0400/0750], Total_loss: 1.7299 Loss1: 0.8506 Loss2: 0.8160
2024-11-25 22:43:40.657641 Epoch [002/180], Step [0420/0750], Total_loss: 2.1002 Loss1: 0.9800 Loss2: 1.0229
2024-11-25 22:44:18.834335 Epoch [002/180], Step [0440/0750], Total_loss: 1.8821 Loss1: 0.9084 Loss2: 0.9331
2024-11-25 22:44:56.930434 Epoch [002/180], Step [0460/0750], Total_loss: 1.8312 Loss1: 0.8723 Loss2: 0.8798
2024-11-25 22:45:34.957539 Epoch [002/180], Step [0480/0750], Total_loss: 1.6500 Loss1: 0.8373 Loss2: 0.7944
2024-11-25 22:46:12.764798 Epoch [002/180], Step [0500/0750], Total_loss: 1.8728 Loss1: 0.9176 Loss2: 0.9174
2024-11-25 22:46:50.401638 Epoch [002/180], Step [0520/0750], Total_loss: 2.2472 Loss1: 0.9683 Loss2: 1.1066
2024-11-25 22:47:28.058662 Epoch [002/180], Step [0540/0750], Total_loss: 1.7343 Loss1: 0.8320 Loss2: 0.8312
2024-11-25 22:48:06.196529 Epoch [002/180], Step [0560/0750], Total_loss: 1.8821 Loss1: 0.8885 Loss2: 0.9366
2024-11-25 22:48:43.803758 Epoch [002/180], Step [0580/0750], Total_loss: 1.7762 Loss1: 0.8574 Loss2: 0.8663
2024-11-25 22:49:22.189937 Epoch [002/180], Step [0600/0750], Total_loss: 1.9156 Loss1: 0.9224 Loss2: 0.9434
2024-11-25 22:50:00.466557 Epoch [002/180], Step [0620/0750], Total_loss: 1.8540 Loss1: 0.8832 Loss2: 0.9301
2024-11-25 22:50:38.506602 Epoch [002/180], Step [0640/0750], Total_loss: 1.7060 Loss1: 0.8454 Loss2: 0.8209
2024-11-25 22:51:16.513773 Epoch [002/180], Step [0660/0750], Total_loss: 2.1283 Loss1: 0.9857 Loss2: 1.0258
2024-11-25 22:51:54.650080 Epoch [002/180], Step [0680/0750], Total_loss: 2.1667 Loss1: 0.9935 Loss2: 1.1013
2024-11-25 22:52:32.524587 Epoch [002/180], Step [0700/0750], Total_loss: 1.9315 Loss1: 0.9214 Loss2: 0.9281
2024-11-25 22:53:10.750011 Epoch [002/180], Step [0720/0750], Total_loss: 1.8815 Loss1: 0.8759 Loss2: 0.9542
2024-11-25 22:53:48.428276 Epoch [002/180], Step [0740/0750], Total_loss: 2.0137 Loss1: 0.9350 Loss2: 0.9406
2024-11-25 22:54:07.195036 Epoch [002/180], Step [0750/0750], Total_loss: 1.8838 Loss1: 0.8939 Loss2: 0.9359
Epoch: 2, MAE: 0.034165860375718726, bestMAE: 0.038455363999140554, bestEpoch: 1.
Save state_dict successfully! Best epoch:2.
2024-11-25 23:03:49.593598 Epoch [003/180], Step [0001/0750], Total_loss: 1.7391 Loss1: 0.8710 Loss2: 0.8681
2024-11-25 23:04:25.629397 Epoch [003/180], Step [0020/0750], Total_loss: 1.5851 Loss1: 0.8155 Loss2: 0.7694
2024-11-25 23:05:03.806924 Epoch [003/180], Step [0040/0750], Total_loss: 1.6479 Loss1: 0.8415 Loss2: 0.8061
2024-11-25 23:05:41.892145 Epoch [003/180], Step [0060/0750], Total_loss: 1.9319 Loss1: 0.9591 Loss2: 0.9718
2024-11-25 23:06:20.061172 Epoch [003/180], Step [0080/0750], Total_loss: 1.4857 Loss1: 0.7624 Loss2: 0.7212
2024-11-25 23:06:58.395319 Epoch [003/180], Step [0100/0750], Total_loss: 1.9124 Loss1: 0.9417 Loss2: 0.9695
2024-11-25 23:07:36.418025 Epoch [003/180], Step [0120/0750], Total_loss: 1.7429 Loss1: 0.8609 Loss2: 0.8774
2024-11-25 23:08:14.614523 Epoch [003/180], Step [0140/0750], Total_loss: 1.9648 Loss1: 0.9627 Loss2: 0.9954
2024-11-25 23:08:52.666158 Epoch [003/180], Step [0160/0750], Total_loss: 1.8168 Loss1: 0.8899 Loss2: 0.9219
2024-11-25 23:09:30.781731 Epoch [003/180], Step [0180/0750], Total_loss: 1.8370 Loss1: 0.9009 Loss2: 0.9293
2024-11-25 23:10:09.024310 Epoch [003/180], Step [0200/0750], Total_loss: 1.6912 Loss1: 0.8500 Loss2: 0.8278
2024-11-25 23:10:47.781702 Epoch [003/180], Step [0220/0750], Total_loss: 1.7431 Loss1: 0.8757 Loss2: 0.8444
2024-11-25 23:11:26.118655 Epoch [003/180], Step [0240/0750], Total_loss: 1.8941 Loss1: 0.9101 Loss2: 0.9660
2024-11-25 23:12:03.945705 Epoch [003/180], Step [0260/0750], Total_loss: 1.6369 Loss1: 0.8263 Loss2: 0.7896
2024-11-25 23:12:41.805116 Epoch [003/180], Step [0280/0750], Total_loss: 1.4463 Loss1: 0.7472 Loss2: 0.6869
2024-11-25 23:13:19.923128 Epoch [003/180], Step [0300/0750], Total_loss: 1.4943 Loss1: 0.7622 Loss2: 0.6978
2024-11-25 23:13:57.489236 Epoch [003/180], Step [0320/0750], Total_loss: 1.5382 Loss1: 0.7907 Loss2: 0.7311
2024-11-25 23:14:35.423862 Epoch [003/180], Step [0340/0750], Total_loss: 1.6209 Loss1: 0.8184 Loss2: 0.7788
2024-11-25 23:15:13.714027 Epoch [003/180], Step [0360/0750], Total_loss: 1.8068 Loss1: 0.8842 Loss2: 0.8827
2024-11-25 23:15:52.057322 Epoch [003/180], Step [0380/0750], Total_loss: 1.9073 Loss1: 0.9256 Loss2: 0.9505
2024-11-25 23:16:30.264041 Epoch [003/180], Step [0400/0750], Total_loss: 1.6640 Loss1: 0.8391 Loss2: 0.7993
2024-11-25 23:17:08.532223 Epoch [003/180], Step [0420/0750], Total_loss: 1.8448 Loss1: 0.8955 Loss2: 0.9057
2024-11-25 23:17:46.733257 Epoch [003/180], Step [0440/0750], Total_loss: 1.5365 Loss1: 0.7548 Loss2: 0.7273
2024-11-25 23:18:24.827583 Epoch [003/180], Step [0460/0750], Total_loss: 1.7112 Loss1: 0.8308 Loss2: 0.8387
2024-11-25 23:19:02.960103 Epoch [003/180], Step [0480/0750], Total_loss: 1.8837 Loss1: 0.8977 Loss2: 0.9366
2024-11-25 23:19:41.483636 Epoch [003/180], Step [0500/0750], Total_loss: 1.4406 Loss1: 0.7353 Loss2: 0.6828
2024-11-25 23:20:19.494180 Epoch [003/180], Step [0520/0750], Total_loss: 1.7818 Loss1: 0.8613 Loss2: 0.8626
2024-11-25 23:20:57.524326 Epoch [003/180], Step [0540/0750], Total_loss: 1.8780 Loss1: 0.8997 Loss2: 0.9266
2024-11-25 23:21:35.735980 Epoch [003/180], Step [0560/0750], Total_loss: 1.7356 Loss1: 0.8488 Loss2: 0.8290
2024-11-25 23:22:13.669931 Epoch [003/180], Step [0580/0750], Total_loss: 1.8253 Loss1: 0.8805 Loss2: 0.9156
2024-11-25 23:22:51.733376 Epoch [003/180], Step [0600/0750], Total_loss: 1.5950 Loss1: 0.7703 Loss2: 0.7742
2024-11-25 23:23:30.254201 Epoch [003/180], Step [0620/0750], Total_loss: 1.7184 Loss1: 0.8338 Loss2: 0.8148
2024-11-25 23:24:08.021162 Epoch [003/180], Step [0640/0750], Total_loss: 1.8237 Loss1: 0.8936 Loss2: 0.8675
2024-11-25 23:24:45.853779 Epoch [003/180], Step [0660/0750], Total_loss: 1.9464 Loss1: 0.8997 Loss2: 0.9744
2024-11-25 23:25:23.994515 Epoch [003/180], Step [0680/0750], Total_loss: 1.4945 Loss1: 0.7445 Loss2: 0.7001
2024-11-25 23:26:01.950448 Epoch [003/180], Step [0700/0750], Total_loss: 1.8880 Loss1: 0.9355 Loss2: 0.9402
2024-11-25 23:26:39.696095 Epoch [003/180], Step [0720/0750], Total_loss: 1.8180 Loss1: 0.8808 Loss2: 0.8732
2024-11-25 23:27:17.709502 Epoch [003/180], Step [0740/0750], Total_loss: 1.6587 Loss1: 0.8260 Loss2: 0.8106
2024-11-25 23:27:37.070778 Epoch [003/180], Step [0750/0750], Total_loss: 1.8983 Loss1: 0.8930 Loss2: 0.9249
Epoch: 3, MAE: 0.039680784826246374, bestMAE: 0.034165860375718726, bestEpoch: 2.
2024-11-25 23:37:55.819373 Epoch [004/180], Step [0001/0750], Total_loss: 1.4851 Loss1: 0.7390 Loss2: 0.7461
2024-11-25 23:38:32.382684 Epoch [004/180], Step [0020/0750], Total_loss: 1.8145 Loss1: 0.9087 Loss2: 0.9057
2024-11-25 23:39:10.849670 Epoch [004/180], Step [0040/0750], Total_loss: 1.8526 Loss1: 0.9116 Loss2: 0.9407
2024-11-25 23:39:49.763361 Epoch [004/180], Step [0060/0750], Total_loss: 1.6771 Loss1: 0.8377 Loss2: 0.8370
2024-11-25 23:40:28.333192 Epoch [004/180], Step [0080/0750], Total_loss: 1.6079 Loss1: 0.8028 Loss2: 0.8020
2024-11-25 23:41:06.362757 Epoch [004/180], Step [0100/0750], Total_loss: 1.6591 Loss1: 0.8410 Loss2: 0.8157
2024-11-25 23:41:44.573086 Epoch [004/180], Step [0120/0750], Total_loss: 1.8015 Loss1: 0.8914 Loss2: 0.9080
2024-11-25 23:42:22.702300 Epoch [004/180], Step [0140/0750], Total_loss: 1.9125 Loss1: 0.9279 Loss2: 0.9795
2024-11-25 23:43:00.505148 Epoch [004/180], Step [0160/0750], Total_loss: 1.7512 Loss1: 0.8749 Loss2: 0.8667
2024-11-25 23:43:38.589854 Epoch [004/180], Step [0180/0750], Total_loss: 1.2947 Loss1: 0.6825 Loss2: 0.6053
2024-11-25 23:44:16.705296 Epoch [004/180], Step [0200/0750], Total_loss: 1.6517 Loss1: 0.8154 Loss2: 0.8195
2024-11-25 23:44:54.761944 Epoch [004/180], Step [0220/0750], Total_loss: 1.7206 Loss1: 0.8453 Loss2: 0.8675
2024-11-25 23:45:33.449301 Epoch [004/180], Step [0240/0750], Total_loss: 1.9819 Loss1: 0.9641 Loss2: 1.0033
2024-11-25 23:46:11.573603 Epoch [004/180], Step [0260/0750], Total_loss: 1.8534 Loss1: 0.9055 Loss2: 0.9327
2024-11-25 23:46:49.522842 Epoch [004/180], Step [0280/0750], Total_loss: 1.5525 Loss1: 0.7915 Loss2: 0.7290
2024-11-25 23:47:27.328549 Epoch [004/180], Step [0300/0750], Total_loss: 1.6274 Loss1: 0.8021 Loss2: 0.7998
2024-11-25 23:48:05.438205 Epoch [004/180], Step [0320/0750], Total_loss: 1.6893 Loss1: 0.8416 Loss2: 0.8208
2024-11-25 23:48:44.257557 Epoch [004/180], Step [0340/0750], Total_loss: 2.1145 Loss1: 1.0053 Loss2: 1.0774
2024-11-25 23:49:22.070429 Epoch [004/180], Step [0360/0750], Total_loss: 1.6561 Loss1: 0.8085 Loss2: 0.8203
2024-11-25 23:50:00.398953 Epoch [004/180], Step [0380/0750], Total_loss: 1.9515 Loss1: 0.9500 Loss2: 0.9860
2024-11-25 23:50:38.820847 Epoch [004/180], Step [0400/0750], Total_loss: 1.3181 Loss1: 0.6924 Loss2: 0.5939
2024-11-25 23:51:16.864406 Epoch [004/180], Step [0420/0750], Total_loss: 1.5556 Loss1: 0.7830 Loss2: 0.7553
2024-11-25 23:51:54.859287 Epoch [004/180], Step [0440/0750], Total_loss: 1.5638 Loss1: 0.7753 Loss2: 0.7560
2024-11-25 23:52:33.052641 Epoch [004/180], Step [0460/0750], Total_loss: 1.8555 Loss1: 0.9074 Loss2: 0.9234
2024-11-25 23:53:10.970355 Epoch [004/180], Step [0480/0750], Total_loss: 1.7670 Loss1: 0.8485 Loss2: 0.8805
2024-11-25 23:53:48.742836 Epoch [004/180], Step [0500/0750], Total_loss: 1.6226 Loss1: 0.8030 Loss2: 0.7937
2024-11-25 23:54:26.920242 Epoch [004/180], Step [0520/0750], Total_loss: 1.3805 Loss1: 0.6930 Loss2: 0.6549
2024-11-25 23:55:04.925224 Epoch [004/180], Step [0540/0750], Total_loss: 1.6773 Loss1: 0.8204 Loss2: 0.8262
2024-11-25 23:55:42.922462 Epoch [004/180], Step [0560/0750], Total_loss: 1.5619 Loss1: 0.7978 Loss2: 0.7493
2024-11-25 23:56:21.336409 Epoch [004/180], Step [0580/0750], Total_loss: 2.5235 Loss1: 1.1157 Loss2: 1.3937
2024-11-25 23:56:59.574783 Epoch [004/180], Step [0600/0750], Total_loss: 1.8095 Loss1: 0.8744 Loss2: 0.8841
2024-11-25 23:57:37.718384 Epoch [004/180], Step [0620/0750], Total_loss: 1.8108 Loss1: 0.8667 Loss2: 0.8991
2024-11-25 23:58:16.021874 Epoch [004/180], Step [0640/0750], Total_loss: 1.6432 Loss1: 0.7589 Loss2: 0.7416
2024-11-25 23:58:54.277065 Epoch [004/180], Step [0660/0750], Total_loss: 1.7219 Loss1: 0.8431 Loss2: 0.8330
2024-11-25 23:59:32.421197 Epoch [004/180], Step [0680/0750], Total_loss: 1.7611 Loss1: 0.8539 Loss2: 0.8654
2024-11-26 00:00:10.206888 Epoch [004/180], Step [0700/0750], Total_loss: 1.7879 Loss1: 0.8616 Loss2: 0.8900
2024-11-26 00:00:48.057692 Epoch [004/180], Step [0720/0750], Total_loss: 1.6583 Loss1: 0.8079 Loss2: 0.8150
2024-11-26 00:01:25.779159 Epoch [004/180], Step [0740/0750], Total_loss: 1.8011 Loss1: 0.8524 Loss2: 0.8903
2024-11-26 00:01:45.253504 Epoch [004/180], Step [0750/0750], Total_loss: 1.6781 Loss1: 0.8403 Loss2: 0.8204
Epoch: 4, MAE: 0.031106717098933766, bestMAE: 0.034165860375718726, bestEpoch: 2.
Save state_dict successfully! Best epoch:4.
2024-11-26 00:12:04.393297 Epoch [005/180], Step [0001/0750], Total_loss: 1.8698 Loss1: 0.9129 Loss2: 0.9570
2024-11-26 00:12:40.698618 Epoch [005/180], Step [0020/0750], Total_loss: 1.0907 Loss1: 0.5908 Loss2: 0.4998
2024-11-26 00:13:18.585042 Epoch [005/180], Step [0040/0750], Total_loss: 1.6409 Loss1: 0.8376 Loss2: 0.8030
2024-11-26 00:13:57.327534 Epoch [005/180], Step [0060/0750], Total_loss: 1.7455 Loss1: 0.8805 Loss2: 0.8643
2024-11-26 00:14:35.988380 Epoch [005/180], Step [0080/0750], Total_loss: 1.4412 Loss1: 0.7260 Loss2: 0.7104
2024-11-26 00:15:14.037866 Epoch [005/180], Step [0100/0750], Total_loss: 1.5615 Loss1: 0.7922 Loss2: 0.7664
2024-11-26 00:15:52.010888 Epoch [005/180], Step [0120/0750], Total_loss: 1.5172 Loss1: 0.7657 Loss2: 0.7444
2024-11-26 00:16:30.246921 Epoch [005/180], Step [0140/0750], Total_loss: 1.7195 Loss1: 0.8427 Loss2: 0.8696
2024-11-26 00:17:08.391244 Epoch [005/180], Step [0160/0750], Total_loss: 1.6001 Loss1: 0.8029 Loss2: 0.7933
2024-11-26 00:17:46.295229 Epoch [005/180], Step [0180/0750], Total_loss: 1.6924 Loss1: 0.8418 Loss2: 0.8340
2024-11-26 00:18:24.150783 Epoch [005/180], Step [0200/0750], Total_loss: 1.6671 Loss1: 0.8324 Loss2: 0.8154
2024-11-26 00:19:02.137983 Epoch [005/180], Step [0220/0750], Total_loss: 1.9530 Loss1: 0.9512 Loss2: 0.9823
2024-11-26 00:19:40.195622 Epoch [005/180], Step [0240/0750], Total_loss: 1.3490 Loss1: 0.6900 Loss2: 0.6282
2024-11-26 00:20:18.765690 Epoch [005/180], Step [0260/0750], Total_loss: 1.6031 Loss1: 0.7822 Loss2: 0.7957
2024-11-26 00:20:57.534931 Epoch [005/180], Step [0280/0750], Total_loss: 1.5924 Loss1: 0.7994 Loss2: 0.7727
2024-11-26 00:21:35.388693 Epoch [005/180], Step [0300/0750], Total_loss: 1.4341 Loss1: 0.7329 Loss2: 0.6883
2024-11-26 00:22:13.225303 Epoch [005/180], Step [0320/0750], Total_loss: 1.5299 Loss1: 0.7738 Loss2: 0.7446
2024-11-26 00:22:50.865614 Epoch [005/180], Step [0340/0750], Total_loss: 1.7972 Loss1: 0.8768 Loss2: 0.8988
2024-11-26 00:23:28.879942 Epoch [005/180], Step [0360/0750], Total_loss: 1.8225 Loss1: 0.8866 Loss2: 0.9111
2024-11-26 00:24:06.908941 Epoch [005/180], Step [0380/0750], Total_loss: 1.9097 Loss1: 0.9264 Loss2: 0.9624
2024-11-26 00:24:44.594780 Epoch [005/180], Step [0400/0750], Total_loss: 1.6520 Loss1: 0.8157 Loss2: 0.8124
2024-11-26 00:25:22.297914 Epoch [005/180], Step [0420/0750], Total_loss: 1.6272 Loss1: 0.8123 Loss2: 0.8027
2024-11-26 00:26:00.224341 Epoch [005/180], Step [0440/0750], Total_loss: 1.5327 Loss1: 0.7587 Loss2: 0.7394
2024-11-26 00:26:38.167139 Epoch [005/180], Step [0460/0750], Total_loss: 1.7362 Loss1: 0.8598 Loss2: 0.8648
2024-11-26 00:27:16.049021 Epoch [005/180], Step [0480/0750], Total_loss: 1.5590 Loss1: 0.7633 Loss2: 0.7376
2024-11-26 00:27:54.013747 Epoch [005/180], Step [0500/0750], Total_loss: 2.1834 Loss1: 0.9913 Loss2: 1.1488
2024-11-26 00:28:32.314511 Epoch [005/180], Step [0520/0750], Total_loss: 1.7154 Loss1: 0.8521 Loss2: 0.8467
2024-11-26 00:29:10.575062 Epoch [005/180], Step [0540/0750], Total_loss: 1.8311 Loss1: 0.8675 Loss2: 0.9029
2024-11-26 00:29:48.456958 Epoch [005/180], Step [0560/0750], Total_loss: 1.5230 Loss1: 0.7598 Loss2: 0.7335
2024-11-26 00:30:26.414424 Epoch [005/180], Step [0580/0750], Total_loss: 1.7619 Loss1: 0.8572 Loss2: 0.8806
2024-11-26 00:31:04.244686 Epoch [005/180], Step [0600/0750], Total_loss: 1.8812 Loss1: 0.9035 Loss2: 0.9474
